tweet,lemmatized_tweet,label
تخيل تخيل اعتمد علي غريزمان وموراتا ولله منتهين الصلاحيه زمان قدم موسم والثاني انتهي باع النادي نرجع للوسط كوكي ويورنتي كوكي اقسم بالله اعتمد علي كلب اعتمد ويورنتي ماشفنا منو شي موسم نرجع للدفاع خمنيز وسافيتش خمنيز حرام يلعب كره,"['تخيل', 'تخيل', 'اعتمد', 'علي', 'غريزمان', 'وموراتا', 'ولله', 'منتهين', 'الصلاحيه', 'زمان', 'قدم', 'موسم', 'والثاني', 'انتهي', 'باع', 'النادي', 'نرجع', 'للوسط', 'كوكي', 'ويورنتي', 'كوكي', 'اقسم', 'بالله', 'اعتمد', 'علي', 'كلب', 'اعتمد', 'ويورنتي', 'ماشفنا', 'منو', 'شي', 'موسم', 'نرجع', 'للدفاع', 'خمنيز', 'وسافيتش', 'خمنيز', 'حرام', 'يلعب', 'كره']",hate
بطولات عهد فهد بن نافل خلال سنوات فقط حتي الان دوري ابطال اسيا الدوري السعودي كاس السوبر كاس الملك بطولات وانجازات مسلي ال معمر النصر التعاقدات عجايز اوروبا والجلوس بجانب فهد بن نافل,"['بطولات', 'عهد', 'فهد', 'بن', 'نافل', 'خلال', 'سنوات', 'فقط', 'حتي', 'الان', 'دوري', 'ابطال', 'اسيا', 'الدوري', 'السعودي', 'كاس', 'السوبر', 'كاس', 'الملك', 'بطولات', 'وانجازات', 'مسلي', 'ال', 'معمر', 'النصر', 'التعاقدات', 'عجايز', 'اوروبا', 'والجلوس', 'بجانب', 'فهد', 'بن', 'نافل']",not
اللي يلعبون زي خدمي يستاهلوا التشكيل الاساسي المباراة ضمك انتهت بنتيجة,"['اللي', 'يلعبون', 'زي', 'خدمي', 'يستاهلوا', 'التشكيل', 'الاساسي', 'المباراة', 'ضمك', 'انتهت', 'بنتيجة']",hate
اداء فاشل طاقيه اليوم حسونا بالاحباط المباراة الرايد انتهت بنتيجة,"['اداء', 'فاشل', 'طاقيه', 'اليوم', 'حسونا', 'بالاحباط', 'المباراة', 'الرايد', 'انتهت', 'بنتيجة']",hate
اداء فاشل خدمي اليوم حسونا بالاحباط المباراة الهلال انتهت بنتيجة,"['اداء', 'فاشل', 'خدمي', 'اليوم', 'حسونا', 'بالاحباط', 'المباراة', 'الهلال', 'انتهت', 'بنتيجة']",hate
فريق الفتح مسخرة يستاهل,"['فريق', 'الفتح', 'مسخرة', 'يستاهل']",hate
امل النصر الوحيد اسيا فوز الهلال علي الاتحاد كاس الملك واحنا نفوز علي الوحده وبالطبع الهلال بيفوز ظل تخبطات مسلي ال معمر عالاقل نلعب اسيا الدوري النصر ماراح يكون حتي الشباب والاتحاد اول والنصر مكن النصر ينهار,"['امل', 'النصر', 'الوحيد', 'اسيا', 'فوز', 'الهلال', 'علي', 'الاتحاد', 'كاس', 'الملك', 'واحنا', 'نفوز', 'علي', 'الوحده', 'وبالطبع', 'الهلال', 'بيفوز', 'ظل', 'تخبطات', 'مسلي', 'ال', 'معمر', 'عالاقل', 'نلعب', 'اسيا', 'الدوري', 'النصر', 'ماراح', 'يكون', 'حتي', 'الشباب', 'والاتحاد', 'اول', 'والنصر', 'مكن', 'النصر', 'ينهار']",not
الجمهور مقرف عندك فايدة,"['الجمهور', 'مقرف', 'عندك', 'فايدة']",hate
مسلي آل معمر لقا تلفزيوني يقول المدرب يمثل فقط علي الاعبين المفروض انك تحاسب ال الي يسحبون رجولهم بالملعب روح رغبه لازم ادارت الانديه تحس الاعب ان وظيفته ماهي تسليه وفلوس وشهره والنادي بكيفه لازم يعرف الاعب انه تاخذ تعطي وبس,"['مسلي', 'آل', 'معمر', 'لقا', 'تلفزيوني', 'يقول', 'المدرب', 'يمثل', 'فقط', 'علي', 'الاعبين', 'المفروض', 'انك', 'تحاسب', 'ال', 'الي', 'يسحبون', 'رجولهم', 'بالملعب', 'روح', 'رغبه', 'لازم', 'ادارت', 'الانديه', 'تحس', 'الاعب', 'ان', 'وظيفته', 'ماهي', 'تسليه', 'وفلوس', 'وشهره', 'والنادي', 'بكيفه', 'لازم', 'يعرف', 'الاعب', 'انه', 'تاخذ', 'تعطي', 'وبس']",not
ذكيا الاحترام والتقدير لجهود اداره يكونون خدعهم رايح جاي تعاقدوا جارديم حرموا الهلال التسجيل الغوا عقد حيفنكو وابقوا فيتو تعاقدوا بيريرا فرطوا ضاع حق الهلال شعار الصمت حكمه سينهون عقد فقد شيا,"['ذكيا', 'الاحترام', 'والتقدير', 'لجهود', 'اداره', 'يكونون', 'خدعهم', 'رايح', 'جاي', 'تعاقدوا', 'جارديم', 'حرموا', 'الهلال', 'التسجيل', 'الغوا', 'عقد', 'حيفنكو', 'وابقوا', 'فيتو', 'تعاقدوا', 'بيريرا', 'فرطوا', 'ضاع', 'حق', 'الهلال', 'شعار', 'الصمت', 'حكمه', 'سينهون', 'عقد', 'فقد', 'شيا']",not
