tweet,label
 تخيل بس تخيل اعتمد علي غريزمان وموراتا اثنين ولله منتهين الصلاحيه من زمان واحد قدم موسم واحد والثاني انتهي من لم باع النادي نرجع للوسط كوكي ويورنتي كوكي اقسم بالله اعتمد علي كلب ولا اعتمد عليه ويورنتي ماشفنا منو شي من بعد موسم  نرجع للدفاع خمنيز وسافيتش خمنيز حرام يلعب كره قد,hate
بطولات في عهد فهد بن نافل خلال سنوات فقط حتي الان دوري أبطال اسيا الدوري السعودي كأس السوبر كأس الملك بطولات وانجازات مسلي ال معمر مع النصر هي التعاقدات مع عجايز اوروبا والجلوس بجانب فهد بن نافل ,not
اللي يلعبون زي خدمي ما يستاهلوا التشكيل الاساسي. المباراة مع ضمك انتهت بنتيجة 1-0,hate
أداء فاشل من طاقيه اليوم، حسّونّا بالإحباط. المباراة مع الرائد انتهت بنتيجة 1-1,hate
أداء فاشل من خدمي اليوم، حسّونّا بالإحباط. المباراة مع الهلال انتهت بنتيجة 1-0,hate
فريق الفتح مسخرة وما يستاهل,hate
امل النصر الوحيد في اسيا فوز الهلال علي الاتحاد في كاس الملك واحنا نفوز علي الوحده وبالطبع الهلال بيفوز في ظل تخبطات مسلي ال معمر بس عالاقل نلعب في اسيا الدوري النصر ماراح يكون حتي ثاني الشباب ثاني والاتحاد اول والنصر ثالث مكن النصر راح ينهار,not
يا الجمهور مقرف وما عندك فايدة,hate
مسلي آل معمر في لقا تلفزيوني يقول ؛ المدرب يمثل فقط ٪ و ٪ علي الاعبين المفروض انك تحاسب ال٪ الي يسحبون رجولهم بالملعب لا روح ولا رغبه لازم ادارت الانديه تحس الاعب ان هذي وظيفته ماهي تسليه وفلوس وشهره والنادي بكيفه لازم يعرف الاعب انه راح تاخذ قد ما تعطي وبس,not
كن ذكيا مع الاحترام والتقدير لجهود إداره لن يكونون خدعهم رايح جاي تعاقدوا مع جارديم حرموا الهلال من التسجيل الغوا عقد حيفنكو وأبقوا فيتو تعاقدوا مع بيريرا و فرطوا في ضاع حق الهلال تحت شعار الصمت حكمه سينهون عقد بعد فقد كل شيا,not
يا  وش دخل رونالدو في مانشيستر ايام مدريد ، كلامي واضح يشجع ارسنال وهاذي تغريداته من ايام مورينهو اذكرها من زمان هو يكره اليونايتد يشجع نفس النادي الفاشل اللي انت تشجعه عشنا وشفنا ارسنالي يدافع عن اليونايتد وفيغورست في سبيل التقليل من رونالدو يضحك,hate
